geo_id,geography_name,rural,county_tot_pop,tot_cov_pop,pct_tot_cov_pop,tot_cov_pop_MOE,pct_tot_cov_MOE,ipr_pop,pct_ipr_pop,ipr_pop_MOE,pct_ipr_MOE,aging_pop,pct_aging_pop,aging_pop_MOE,pct_aging_MOE,incarc_pop,pct_incarc_pop,incarc_pop_MOE,pct_incarc_MOE,vet_pop,pct_vet_pop,vet_pop_MOE,pct_vet_MOE,dis_pop,pct_dis_pop,dis_pop_MOE,pct_dis_MOE,lang_barrier_pop,pct_lang_barrier_pop,lang_barrier_pop_MOE,pct_lang_barrier_MOE,lang_pop,pct_lang_pop,lang_pop_MOE,pct_lang_MOE,pct_low_literacy_pop_nces,pct_low_literacy_nces_MOE,minority_pop,pct_minority_pop,minority_pop_MOE,pct_minority_MOE,rural_pop,pct_rural_pop,rural_pop_MOE,pct_rural_MOE,pct_no_fixed_bb_pop_fcc,no_bb_or_computer_pop,pct_no_bb_or_computer_pop,no_bb_or_computer_pop_MOE,pct_no_bb_or_computer_MOE
01001000000,"Autauga County, Alabama",Not rural,55869,44194,79.1,3159,5.7,12680,23.2,1299,2.4,11022,19.9,353,0.6,209,0.4,84,0.2,5272,9.5,562,1,10590,19.1,676,1.2,8391,15.2,689,1.2,746,1.4,260,0.5,20.5,2.9,14065,25.4,52,0.1,20460,36.9,513,0.9,19.4,8044,14.7,1047,1.9
01003000000,"Baldwin County, Alabama",Not rural,223234,201279,90.2,5382,2.4,38910,18.6,2415,1.2,57843,27.2,761,0.4,1354,0.6,405,0.2,19663,9.2,980,0.5,31050,14.6,1448,0.7,26810,12.6,1515,0.7,3545,1.8,583,0.3,16.1,2.9,36027,16.9,245,0.1,157800,74.1,578,0.3,16.4,29800,14.2,2353,1.1
01005000000,"Barbour County, Alabama",Rural,24686,24686,100,0,0,9656,43.1,618,2.6,6346,25,171,0.7,2733,10.8,315,1.2,1328,5.2,158,0.6,5701,22.5,389,1.5,8008,31.6,350,1.4,627,2.6,174,0.7,39.4,4.3,13743,54.2,32,0.1,25360,100,22,0.1,31.1,7812,34.8,639,2.8
01007000000,"Bibb County, Alabama",Rural,22394,22394,100,0,0,5711,27.7,1003,4.8,5048,22.4,259,1.1,1688,7.5,167,0.7,1433,6.4,257,1.1,4124,18.3,569,2.5,4600,20.5,500,2.2,275,1.3,130,0.6,26.9,3.6,5730,25.5,22,0.1,22490,100,22,0.1,66.3,4911,23.8,844,4.1
01009000000,"Blount County, Alabama",Not rural,57826,57623,99.7,210,0.4,14360,25.2,1306,2.3,14135,24.5,325,0.6,140,0.2,72,0.1,3417,5.9,375,0.7,8394,14.6,608,1.1,11300,19.6,703,1.2,1836,3.4,278,0.5,24.8,3.5,7560,13.1,261,0.5,57400,99.5,167,0.3,24.2,12117,21.2,1374,2.4
01011000000,"Bullock County, Alabama",Rural,10101,10101,100,0,0,3617,37.2,786,7.8,2410,23.5,238,2.3,275,2.7,103,1,267,2.6,114,1.1,1320,12.9,281,2.7,3688,36,447,4.4,99,1,82,0.8,44.7,5.5,8057,78.6,19,0.3,10250,100,19,0.3,6.4,3850,39.2,745,7.5
01013000000,"Butler County, Alabama",Rural,19448,19448,100,0,0,7083,36.3,678,3.5,5308,26.8,171,0.9,91,0.5,76,0.4,1011,5.1,174,0.9,3423,17.3,320,1.6,4532,22.9,382,1.9,66,0.4,52,0.3,32,3.9,9596,48.4,19,0.2,19830,100,19,0.2,31.9,6585,33.8,791,4.1
01015000000,"Calhoun County, Alabama",Not rural,113605,104887,92.3,3130,2.8,32210,28.9,1637,1.5,27675,24.1,487,0.4,497,0.4,144,0.1,9661,8.4,647,0.6,24790,21.6,1088,0.9,21820,19,1000,0.9,1669,1.5,275,0.3,25,3,32010,27.9,204,0.2,75810,66.1,47,0.1,7.0,22377,20.1,1546,1.4
01017000000,"Chambers County, Alabama",Rural,33254,33254,100,0,0,9807,29.7,851,2.6,8644,25.7,288,0.9,152,0.5,94,0.3,2102,6.2,287,0.9,6312,18.8,553,1.6,7506,22.3,496,1.5,399,1.3,157,0.5,29.9,3.9,14963,44.5,2,0.1,33660,100,25,0.1,15.5,8108,24.5,759,2.3
01019000000,"Cherokee County, Alabama",Rural,26196,26196,100,0,0,7731,30.2,872,3.4,7801,30.1,202,0.8,87,0.3,35,0.1,1883,7.3,248,1,4776,18.4,502,1.9,4899,18.9,369,1.4,185,0.7,78,0.3,25.3,3.5,2144,8.3,22,0.1,25900,100,22,0.1,1.1,5515,21.5,720,2.8
